,"In the United States, there is information voters need to register and vote. Where are you most likely to look for this information? You may select up to 3 choices. ","If you wanted to know more about how elections are run in the United States, where would you be most likely to look for that information? You may select up to 3 choices. ","If you are interested in learning about the winner of an election, what source would you be most likely to look to for results? You may select up to 3 choices. "
Blogs or online forums,0.03943683802586348,0.06184072939468802,0.03555187672681175
Don't know/ no opinion,0.02056135311442658,0.02628390298324683,0.021871951194986722
Friends and family,0.2517656928403513,0.17949907475367785,0.1552267935254307
I do not consume information about how to vote,0.058402169615177864,,
Local or regional television,0.17868733169261358,0.1417337716414865,0.3586781022968392
National television,0.15466333147180397,0.17257250818529773,0.3846795114485093
"Other, please specify",0.01477144015075155,0.011251815375229788,0.006700203182601225
Podcasts,0.04162330722639216,0.05201915050678477,0.030598565797544712
Print publications news websites,0.08504544770302686,0.1064971091628402,0.08485248125340177
"Print publications, such as newspapers or magazines",0.0858142335400186,0.09519045784825374,0.08927321036013854
Radio,0.06041489328759365,0.052286284741912,0.09413242520286554
Search through Google or other search engines,0.39202890995766065,0.4826483109954034,0.3622529790227739
"Social media such as Facebook, Twitter, or Instagram",0.16686792582733803,0.12864512009621232,0.18602538764015905
Television news website,0.13069689788675812,0.12323981959114871,0.27050772713764626
Your local election office,0.39510900306073293,0.356920265253554,0.17553593542731072
Your state election office,0.33139097802975864,0.3812136813930982,0.17648737383167787
I am not interested in learning about how elections are run in the United States,,0.03199486996515087,
I do not consume information about election results,,,0.016833078075620095
