,overall
Browsing or reading posts about election-related topics,0.36770033922560014
Clicking on links to learn more about election topics,0.2558064679855145
"None of the above, I do not engage with election content on online platforms",0.23972770411709507
Sharing content offline with your friends/family,0.18138864783125472
Commenting on or discussing election-related posts,0.15462480562329137
Liking or reacting to election-related posts,0.1400993090910233
"Privately sharing election content (e.g. through private messages, direct messages)",0.12286498020232026
Don't know/ No opinion,0.12232470480058098
Sharing election content with your followers,0.09262484561260352
Creating and posting your own election-related content,0.07575155907164834
"Other, please specify",0.006461149799109478
