,Age: 18-34,Age: 35-44,Age: 45-64,Age: 65+,overall
Substack,0.0024492530953259084,0.0027841813591356216,0.0033162520613737464,0.0026188116006508836,0.0028376910466856387
"Other, please specify",0.003845715386020883,0.008830132627472955,0.05248268486319401,0.07473553605182559,0.03879395583753153
Nextdoor,0.008290744584023136,0.01952153515426207,0.008927592961613684,0.01585024777153576,0.012114030721295336
Threads,0.009929758313693419,0.01525716621680769,0.006933643394195773,0.00578841630142625,0.008698502808742044
Discord,0.010431528526654512,0.008467950137378916,0.004900705869638488,0.0005376571050317432,0.0057866452034582416
WhatsApp,0.013163113929859005,0.04797850300036969,0.024039483043196308,0.01114608414117921,0.02170678489215527
Apple Podcasts,0.013357687534559725,0.031231976821907093,0.02664042468208896,0.025573457099187628,0.023660150082075525
Don't know/ No opinion,0.02206734231739673,0.03172318752629693,0.05560317119675322,0.07523607260922527,0.04818753470446833
I do not consume information about elections online,0.023554040481507436,0.03214309191204169,0.07633825461935084,0.1999322043061463,0.08672388000918371
LinkedIn,0.024431362054938326,0.03120407738420242,0.034674740589358835,0.03233897800520109,0.030922829434931833
Truth Social,0.03073174596443826,0.0567046610139307,0.04518168096268263,0.05655259123585926,0.04606155772784629
Spotify,0.047740958128280886,0.008477670860733663,0.02468054298549822,0.0020080568001649567,0.022485648915808277
Snapchat,0.05212677969525329,0.04909707244280084,0.019351717211552443,0.003921145653091533,0.028518436134465457
Reddit,0.0828615030896031,0.08936476105439872,0.04380245427454812,0.011675909716643318,0.05286073171548995
TikTok,0.27184340689075603,0.10386377533127887,0.08558522136898425,0.02857296829723487,0.12215812918514476
Instagram,0.2873469228229649,0.22951056658322277,0.12345381074686951,0.03660963564071073,0.16032548222559462
Twitter/X,0.290809896664588,0.1768788052341971,0.1386738845862318,0.0889930039279845,0.17134684543434942
Facebook,0.31672616190349023,0.4149391237317927,0.320524164601231,0.2421430667503913,0.314538170079085
YouTube,0.3703529822609229,0.3853798292270084,0.33396623156194605,0.23932273076387867,0.32767370467384005
Google,0.4978794012555731,0.4812425248822395,0.5452077933386421,0.4823953024598694,0.5075617305059101
