,,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)",A few times in the weeks around major election dates or deadlines,Regularly in the weeks around major election dates or deadlines,Consistently throughout the year,Never
PID: Ind (no lean),News about campaigns,0.12614782457807114,0.1461253374829295,0.1573948607274626,0.12474065406395154,0.4455913231475852
PID: Ind (no lean),Information about candidates,0.1517061056081251,0.14042354905740537,0.15006858387367977,0.1582722228036847,0.39952953865710505
PID: Rep (no lean),News about campaigns,0.16157135901578498,0.18236505277777915,0.19885837006335566,0.18702004590580182,0.2701851722372784
PID: Ind (no lean),Information about how elections are run,0.16518993172483257,0.12047184520556307,0.0957500670539431,0.08762533945673824,0.5309628165589231
PID: Rep (no lean),Information about candidates,0.17724978918895978,0.17759687765457566,0.19583512492526198,0.21642429941646874,0.232893908814734
PID: Dem (no lean),News about campaigns,0.18685570712852528,0.21418184658733072,0.2298394869086428,0.2008779222304822,0.16824503714501896
PID: Ind (no lean),Information about how to register and vote,0.194091567125333,0.0920444853230536,0.08475633828074541,0.07555538573042632,0.5535522235404418
PID: Rep (no lean),Information about how elections are run,0.19640246202722766,0.15778963669946186,0.1486790968938345,0.1337069200155708,0.3634218843639052
PID: Dem (no lean),Information about candidates,0.21457116004122,0.1913577787148508,0.23244193055329315,0.22455677644521238,0.13707235424542363
PID: Dem (no lean),Information about how elections are run,0.2193218238217019,0.18488905876579645,0.17640491532731453,0.14208812314520508,0.277296078939982
PID: Rep (no lean),Information about how to register and vote,0.23026983332700082,0.12669365980099606,0.1380356226463659,0.11911451664793017,0.38588636757770706
PID: Dem (no lean),Information about how to register and vote,0.2557143805016939,0.15975056727503312,0.15664901363486647,0.14493326637478274,0.28295277221362375
PID: Ind (no lean),Information about who won an election,0.2741423153209531,0.11117159818321663,0.13257055687458943,0.09297636854324912,0.3891391610779918
PID: Rep (no lean),Information about who won an election,0.30343679153591513,0.13054125301311367,0.19091263716880028,0.1441368390752589,0.2309724792069122
PID: Dem (no lean),Information about who won an election,0.3227867478122559,0.15901185072271376,0.22851575225287363,0.15304429781759396,0.13664135139456296
