"value","code","question"
1,"NO TEXT","ResponseID"
1,"Adults","xdemAll"
1,"NO TEXT","demZIP"
1,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)","BPC1_1"
2,"A few times in the weeks around major election dates or deadlines","BPC1_1"
3,"Regularly in the weeks around major election dates or deadlines","BPC1_1"
4,"Consistently throughout the year","BPC1_1"
5,"Never","BPC1_1"
1,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)","BPC1_2"
2,"A few times in the weeks around major election dates or deadlines","BPC1_2"
3,"Regularly in the weeks around major election dates or deadlines","BPC1_2"
4,"Consistently throughout the year","BPC1_2"
5,"Never","BPC1_2"
1,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)","BPC1_3"
2,"A few times in the weeks around major election dates or deadlines","BPC1_3"
3,"Regularly in the weeks around major election dates or deadlines","BPC1_3"
4,"Consistently throughout the year","BPC1_3"
5,"Never","BPC1_3"
1,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)","BPC1_4"
2,"A few times in the weeks around major election dates or deadlines","BPC1_4"
3,"Regularly in the weeks around major election dates or deadlines","BPC1_4"
4,"Consistently throughout the year","BPC1_4"
5,"Never","BPC1_4"
1,"Only around major election dates or deadlines (e.g. Voter registration deadlines, Election Day)","BPC1_5"
2,"A few times in the weeks around major election dates or deadlines","BPC1_5"
3,"Regularly in the weeks around major election dates or deadlines","BPC1_5"
4,"Consistently throughout the year","BPC1_5"
5,"Never","BPC1_5"
1,"Selected","BPC2_1NET"
2,"Not Selected","BPC2_1NET"
1,"Selected","BPC2_2NET"
2,"Not Selected","BPC2_2NET"
1,"Selected","BPC2_3NET"
2,"Not Selected","BPC2_3NET"
1,"Selected","BPC2_4NET"
2,"Not Selected","BPC2_4NET"
1,"Selected","BPC2_5NET"
2,"Not Selected","BPC2_5NET"
1,"Selected","BPC2_6NET"
2,"Not Selected","BPC2_6NET"
1,"Selected","BPC2_7NET"
2,"Not Selected","BPC2_7NET"
1,"Selected","BPC2_8NET"
2,"Not Selected","BPC2_8NET"
1,"Selected","BPC2_9NET"
2,"Not Selected","BPC2_9NET"
1,"Selected","BPC2_10NET"
2,"Not Selected","BPC2_10NET"
1,"Selected","BPC2_11NET"
2,"Not Selected","BPC2_11NET"
1,"Selected","BPC2_12NET"
2,"Not Selected","BPC2_12NET"
1,"Selected","BPC2_13NET"
2,"Not Selected","BPC2_13NET"
1,"Selected","BPC2_14NET"
2,"Not Selected","BPC2_14NET"
1,"Selected","BPC3_1NET"
2,"Not Selected","BPC3_1NET"
1,"Selected","BPC3_2NET"
2,"Not Selected","BPC3_2NET"
1,"Selected","BPC3_3NET"
2,"Not Selected","BPC3_3NET"
1,"Selected","BPC3_4NET"
2,"Not Selected","BPC3_4NET"
1,"Selected","BPC3_5NET"
2,"Not Selected","BPC3_5NET"
1,"Selected","BPC3_6NET"
2,"Not Selected","BPC3_6NET"
1,"Selected","BPC3_7NET"
2,"Not Selected","BPC3_7NET"
1,"Selected","BPC3_8NET"
2,"Not Selected","BPC3_8NET"
1,"Selected","BPC3_9NET"
2,"Not Selected","BPC3_9NET"
1,"Selected","BPC3_10NET"
2,"Not Selected","BPC3_10NET"
1,"Selected","BPC3_11NET"
2,"Not Selected","BPC3_11NET"
1,"Selected","BPC3_12NET"
2,"Not Selected","BPC3_12NET"
1,"Selected","BPC3_13NET"
2,"Not Selected","BPC3_13NET"
1,"Selected","BPC3_14NET"
2,"Not Selected","BPC3_14NET"
1,"Selected","BPC3_15NET"
2,"Not Selected","BPC3_15NET"
1,"Selected","BPC4_1NET"
2,"Not Selected","BPC4_1NET"
1,"Selected","BPC4_2NET"
2,"Not Selected","BPC4_2NET"
1,"Selected","BPC4_3NET"
2,"Not Selected","BPC4_3NET"
1,"Selected","BPC4_4NET"
2,"Not Selected","BPC4_4NET"
1,"Selected","BPC4_5NET"
2,"Not Selected","BPC4_5NET"
1,"Selected","BPC4_6NET"
2,"Not Selected","BPC4_6NET"
1,"Selected","BPC4_7NET"
2,"Not Selected","BPC4_7NET"
1,"Selected","BPC4_8NET"
2,"Not Selected","BPC4_8NET"
1,"Selected","BPC4_9NET"
2,"Not Selected","BPC4_9NET"
1,"Selected","BPC4_10NET"
2,"Not Selected","BPC4_10NET"
1,"Selected","BPC4_11NET"
2,"Not Selected","BPC4_11NET"
1,"Selected","BPC4_12NET"
2,"Not Selected","BPC4_12NET"
1,"Selected","BPC4_13NET"
2,"Not Selected","BPC4_13NET"
1,"Selected","BPC4_14NET"
2,"Not Selected","BPC4_14NET"
1,"Selected","BPC4_15NET"
2,"Not Selected","BPC4_15NET"
1,"Selected","BPC5_1NET"
2,"Not Selected","BPC5_1NET"
1,"Selected","BPC5_2NET"
2,"Not Selected","BPC5_2NET"
1,"Selected","BPC5_3NET"
2,"Not Selected","BPC5_3NET"
1,"Selected","BPC5_4NET"
2,"Not Selected","BPC5_4NET"
1,"Selected","BPC5_5NET"
2,"Not Selected","BPC5_5NET"
1,"Selected","BPC5_6NET"
2,"Not Selected","BPC5_6NET"
1,"Selected","BPC5_7NET"
2,"Not Selected","BPC5_7NET"
1,"Selected","BPC5_8NET"
2,"Not Selected","BPC5_8NET"
1,"Selected","BPC5_9NET"
2,"Not Selected","BPC5_9NET"
1,"Selected","BPC5_10NET"
2,"Not Selected","BPC5_10NET"
1,"Selected","BPC5_11NET"
2,"Not Selected","BPC5_11NET"
1,"Selected","BPC5_12NET"
2,"Not Selected","BPC5_12NET"
1,"Selected","BPC5_13NET"
2,"Not Selected","BPC5_13NET"
1,"Selected","BPC5_14NET"
2,"Not Selected","BPC5_14NET"
1,"Selected","BPC5_15NET"
2,"Not Selected","BPC5_15NET"
1,"Selected","BPC6_1NET"
2,"Not Selected","BPC6_1NET"
1,"Selected","BPC6_2NET"
2,"Not Selected","BPC6_2NET"
1,"Selected","BPC6_3NET"
2,"Not Selected","BPC6_3NET"
1,"Selected","BPC6_4NET"
2,"Not Selected","BPC6_4NET"
1,"Selected","BPC6_5NET"
2,"Not Selected","BPC6_5NET"
1,"Selected","BPC6_6NET"
2,"Not Selected","BPC6_6NET"
1,"Selected","BPC6_7NET"
2,"Not Selected","BPC6_7NET"
1,"Selected","BPC6_8NET"
2,"Not Selected","BPC6_8NET"
1,"Selected","BPC6_9NET"
2,"Not Selected","BPC6_9NET"
1,"Selected","BPC6_10NET"
2,"Not Selected","BPC6_10NET"
1,"Selected","BPC6_11NET"
2,"Not Selected","BPC6_11NET"
1,"Selected","BPC6_12NET"
2,"Not Selected","BPC6_12NET"
1,"Selected","BPC6_13NET"
2,"Not Selected","BPC6_13NET"
1,"Selected","BPC6_14NET"
2,"Not Selected","BPC6_14NET"
1,"Selected","BPC6_15NET"
2,"Not Selected","BPC6_15NET"
1,"Selected","BPC6_16NET"
2,"Not Selected","BPC6_16NET"
1,"Selected","BPC6_17NET"
2,"Not Selected","BPC6_17NET"
1,"Selected","BPC6_18NET"
2,"Not Selected","BPC6_18NET"
1,"Selected","BPC6_19NET"
2,"Not Selected","BPC6_19NET"
1,"Selected","BPC6_20NET"
2,"Not Selected","BPC6_20NET"
1,"Selected","BPC7_1NET"
2,"Not Selected","BPC7_1NET"
1,"Selected","BPC7_2NET"
2,"Not Selected","BPC7_2NET"
1,"Selected","BPC7_3NET"
2,"Not Selected","BPC7_3NET"
1,"Selected","BPC7_4NET"
2,"Not Selected","BPC7_4NET"
1,"Selected","BPC7_5NET"
2,"Not Selected","BPC7_5NET"
1,"Selected","BPC7_6NET"
2,"Not Selected","BPC7_6NET"
1,"Selected","BPC7_7NET"
2,"Not Selected","BPC7_7NET"
1,"Selected","BPC7_8NET"
2,"Not Selected","BPC7_8NET"
1,"Selected","BPC7_9NET"
2,"Not Selected","BPC7_9NET"
1,"Selected","BPC7_10NET"
2,"Not Selected","BPC7_10NET"
1,"Selected","BPC7_11NET"
2,"Not Selected","BPC7_11NET"
1,"Selected","BPC7_12NET"
2,"Not Selected","BPC7_12NET"
1,"Selected","BPC7_13NET"
2,"Not Selected","BPC7_13NET"
1,"Selected","BPC7_14NET"
2,"Not Selected","BPC7_14NET"
1,"Selected","BPC7_15NET"
2,"Not Selected","BPC7_15NET"
1,"Selected","BPC7_16NET"
2,"Not Selected","BPC7_16NET"
1,"Selected","BPC7_17NET"
2,"Not Selected","BPC7_17NET"
1,"Selected","BPC7_18NET"
2,"Not Selected","BPC7_18NET"
1,"Selected","BPC7_19NET"
2,"Not Selected","BPC7_19NET"
1,"Selected","BPC7_20NET"
2,"Not Selected","BPC7_20NET"
1,"Selected","BPC8_1NET"
2,"Not Selected","BPC8_1NET"
1,"Selected","BPC8_2NET"
2,"Not Selected","BPC8_2NET"
1,"Selected","BPC8_3NET"
2,"Not Selected","BPC8_3NET"
1,"Selected","BPC8_4NET"
2,"Not Selected","BPC8_4NET"
